stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
de:09362:718:0:0,,Roter-Brach-Weg,,49.0181711,12.0529227,,,0,,,0
de:09362:718:0:1,,Roter-Brach-Weg,,49.0181983,12.0523758,,,0,,,0
de:09362:718:0:3,,Roter-Brach-Weg,,49.01807591784848,12.05221134900829,,,0,,,0
de:09362:14012:0:2,,Brahmsstraße,,49.0038075,12.1086433,,,0,,,0
de:09362:14012:0:3,,Brahmsstraße,,49.00279202972276,12.10916054774653,,,0,,,0
de:09362:12007:0:1,,Brandlberg,,49.0381016,12.1352927,,,0,,,0
de:09362:12007:0:2,,Brandlberg,,49.0380025,12.1355797,,,0,,,0
de:09362:12018:0:1,,Brombeerweg,,49.04352444871552,12.16084266678092,,,0,,,0
de:09362:12018:0:2,,Brombeerweg,,49.04344967742571,12.160867801331,,,0,,,0
de:09362:13003:0:1,,Bukarester Straße,,49.0138997,12.1462722,,,0,,,0
de:09362:13003:0:2,,Bukarester Straße,,49.0134586,12.1468041,,,0,,,0
de:09362:15020:0:1,,Michael-Burgau-Straße,,49.01516212,12.06301662,,,0,,,0
de:09362:15020:0:0,,Michael-Burgau-Straße,,49.0148222,12.0609163,,,0,,,0
de:09362:14024:0:1,,Garbenstraße,,48.9929705,12.1356616,,,0,,,0
de:09362:14024:0:2,,Garbenstraße,,48.9925038,12.1346766,,,0,,,0
de:09362:10339:30:3,,Burgweinting Bahnhof Gleis 1,,48.98971038935395,12.14683026426096,,,0,,,0
de:09362:10339:31:1,,Burgweinting Bahnhof Gleis 2,,48.99055167116438,12.1470653553153,,,0,,,0
de:09362:10339:30:2,,Burgweinting Bahnhof Gleis 1,,48.98969471,12.14677879,,,0,,,0
de:09362:10339:31:4,,Burgweinting Bahnhof Gleis 2,,48.99051416,12.146843,,,0,,,0
de:09362:14102:0:1,,Hermann-Höcherl-Str.,,48.9852786,12.1459833,,,0,,,0
