route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
5,503 SA,[@1.0.241557723@][1749187136313]/27__503_SA,shape_276,Weichs/DEZ,,0,503 SA
5,503 HA,[@1.0.241557723@][1749187136313]/27__503_HA,shape_276,Weichs/DEZ,,0,503 HA
5,501 HA,[@1.0.241557723@][1749187136313]/270__501_HA,shape_280,Markomannenstr.,,1,501 HA
5,501 SIL,[@1.0.241557723@][1749187136313]/270__501_SIL,shape_280,Markomannenstr.,,1,501 SIL
5,501 SA,[@1.0.241557723@][1749187136313]/270__501_SA,shape_280,Markomannenstr.,,1,501 SA
5,501 SA,[@1.0.241557723@][1749187136313]/271__501_SA,shape_280,Markomannenstr.,,1,501 SA
5,501 SIL,[@1.0.241557723@][1749187136313]/271__501_SIL,shape_280,Markomannenstr.,,1,501 SIL
5,501 HA,[@1.0.241557723@][1749187136313]/271__501_HA,shape_280,Markomannenstr.,,1,501 HA
5,501 HA,[@1.0.241557723@][1749187136313]/272__501_HA,shape_280,Markomannenstr.,,1,501 HA
5,501 SIL,[@1.0.241557723@][1749187136313]/272__501_SIL,shape_280,Markomannenstr.,,1,501 SIL
5,501 SA,[@1.0.241557723@][1749187136313]/272__501_SA,shape_280,Markomannenstr.,,1,501 SA
5,503 SIL,[@1.0.241557723@][1749187136313]/273__503_SIL,shape_280,Markomannenstr.,,1,503 SIL
5,503 HA,[@1.0.241557723@][1749187136313]/273__503_HA,shape_280,Markomannenstr.,,1,503 HA
5,503 SA,[@1.0.241557723@][1749187136313]/273__503_SA,shape_280,Markomannenstr.,,1,503 SA
5,501 SIL,[@1.0.241557723@][1749187136313]/274__501_SIL,shape_280,Markomannenstr.,,1,501 SIL
5,501 SA,[@1.0.241557723@][1749187136313]/274__501_SA,shape_280,Markomannenstr.,,1,501 SA
5,501 HA,[@1.0.241557723@][1749187136313]/274__501_HA,shape_280,Markomannenstr.,,1,501 HA
5,520 SA,[@1.0.241557723@][1749187136313]/275__520_SA,shape_282,,,1,520 SA
5,520 SA bis 13.09.25,[@1.0.241557723@][1749187136313]/275__520_SA_bis_13.09.25,shape_282,,,1,520 SA bis 13.09.25
5,520 HA,[@1.0.241557723@][1749187136313]/275__520_HA,shape_282,,,1,520 HA
5,520 SIL,[@1.0.241557723@][1749187136313]/275__520_SIL,shape_282,,,1,520 SIL
5,522 SIL,[@1.0.241557723@][1749187136313]/276__522_SIL,shape_280,Markomannenstr.,,1,522 SIL
5,522 SA bis 13.09.25,[@1.0.241557723@][1749187136313]/276__522_SA_bis_13.09.25,shape_280,Markomannenstr.,,1,522 SA bis 13.09.25
5,702 HA,[@1.0.241557723@][1749187136313]/276__702_HA,shape_280,Markomannenstr.,,1,702 HA
5,522 SA,[@1.0.241557723@][1749187136313]/276__522_SA,shape_280,Markomannenstr.,,1,522 SA
5,522 SA mit Eisl.,[@1.0.241557723@][1749187136313]/276__522_SA_mit_Eisl.,shape_280,Markomannenstr.,,1,522 SA mit Eisl.
5,501 SA,[@1.0.241557723@][1749187136313]/277__501_SA,shape_280,Markomannenstr.,,1,501 SA
5,501 HA,[@1.0.241557723@][1749187136313]/277__501_HA,shape_280,Markomannenstr.,,1,501 HA
5,501 SIL,[@1.0.241557723@][1749187136313]/277__501_SIL,shape_280,Markomannenstr.,,1,501 SIL
5,702 SA,[@1.0.241557723@][1749187136313]/278__702_SA,shape_280,Markomannenstr.,,1,702 SA
5,702 SA bis 13.09.24,[@1.0.241557723@][1749187136313]/278__702_SA_bis_13.09.24,shape_280,Markomannenstr.,,1,702 SA bis 13.09.24
5,702 SIL,[@1.0.241557723@][1749187136313]/278__702_SIL,shape_280,Markomannenstr.,,1,702 SIL
5,702 HA,[@1.0.241557723@][1749187136313]/278__702_HA,shape_280,Markomannenstr.,,1,702 HA
5,00505,[@1.0.241557723@][1749187136313]/279__00505,shape_280,Jahnstadion Regensburg,,1,00505
5,07803 SF/WF,[@1.0.241557723@][1749187136313]/279__07803_SF/WF,shape_280,Jahnstadion Regensburg,,1,07803 SF/WF
5,00505 Ferien,[@1.0.241557723@][1749187136313]/279__00505_Ferien,shape_280,Jahnstadion Regensburg,,1,00505 Ferien
5,306 SA,[@1.0.241557723@][1749187136313]/28__306_SA,shape_276,Weichs/DEZ,,0,306 SA
5,406 HA,[@1.0.241557723@][1749187136313]/28__406_HA,shape_276,Weichs/DEZ,,0,406 HA
5,306 SA[2025-9-20],[@1.0.241557723@][1749187136313]/28__306_SA[2025-9-20],shape_276,Weichs/DEZ,,0,306 SA[2025-9-20]
5,306 SIL,[@1.0.241557723@][1749187136313]/28__306_SIL,shape_276,Weichs/DEZ,,0,306 SIL
5,306 SA bis 13.09.25[2025-8-2],[@1.0.241557723@][1749187136313]/28__306_SA_bis_13.09.25[2025-8-2],shape_276,Weichs/DEZ,,0,306 SA bis 13.09.25[2025-8-2]
5,00504 SF/WF,[@1.0.241557723@][1749187136313]/280__00504_SF/WF,shape_280,Jahnstadion Regensburg,,1,00504 SF/WF
5,702 SA bis 13.09.24,[@1.0.241557723@][1749187136313]/281__702_SA_bis_13.09.24,shape_280,Markomannenstr.,,1,702 SA bis 13.09.24
5,702 SIL,[@1.0.241557723@][1749187136313]/281__702_SIL,shape_280,Markomannenstr.,,1,702 SIL
5,702 SA,[@1.0.241557723@][1749187136313]/281__702_SA,shape_280,Markomannenstr.,,1,702 SA
5,702 HA,[@1.0.241557723@][1749187136313]/281__702_HA,shape_280,Markomannenstr.,,1,702 HA
5,702 SIL,[@1.0.241557723@][1749187136313]/282__702_SIL,shape_280,Markomannenstr.,,1,702 SIL
5,702 SA,[@1.0.241557723@][1749187136313]/282__702_SA,shape_280,Markomannenstr.,,1,702 SA
5,702 HA,[@1.0.241557723@][1749187136313]/282__702_HA,shape_280,Markomannenstr.,,1,702 HA
5,702 SA bis 13.09.24,[@1.0.241557723@][1749187136313]/282__702_SA_bis_13.09.24,shape_280,Markomannenstr.,,1,702 SA bis 13.09.24
5,702 SA bis 13.09.24,[@1.0.241557723@][1749187136313]/283__702_SA_bis_13.09.24,shape_280,Markomannenstr.,,1,702 SA bis 13.09.24
5,702 SA,[@1.0.241557723@][1749187136313]/283__702_SA,shape_280,Markomannenstr.,,1,702 SA
5,702 HA,[@1.0.241557723@][1749187136313]/283__702_HA,shape_280,Markomannenstr.,,1,702 HA
5,702 SIL,[@1.0.241557723@][1749187136313]/283__702_SIL,shape_280,Markomannenstr.,,1,702 SIL
5,702 SA,[@1.0.241557723@][1749187136313]/284__702_SA,shape_280,Markomannenstr.,,1,702 SA
